IRIS;DISP_TP6020;DISP_Q120;DISP_MED20;DISP_Q320;DISP_EQ20;DISP_D120;DISP_D220;DISP_D320;DISP_D420;DISP_D620;DISP_D720;DISP_D820;DISP_D920;DISP_RD20;DISP_S80S2020;DISP_GI20;DISP_PACT20;DISP_PTSA20;DISP_PCHO20;DISP_PBEN20;DISP_PPEN20;DISP_PPAT20;DISP_PPSOC20;DISP_PPFAM20;DISP_PPMINI20;DISP_PPLOGT20;DISP_PIMPOT20;DISP_NOTE20
441140112;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
441140113;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
441140114;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so
441140115;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
441290101;s;17600;22080;27440;0,45;13770;16560;18600;20500;24010;26160;28960;33390;2,4;2,8;0,200;69,3;64,1;3,1;2,1;30,9;6,0;6,5;2,4;2,8;1,3;-12,7;0
441290102;5,0;19250;23610;28310;0,38;15760;18220;20280;21890;25230;27320;29280;33410;2,1;2,6;0,192;79,6;73,8;3,1;2,7;21,6;7,8;4,5;2,7;1,4;0,4;-13,5;0
441310101;11,5;18230;25050;35090;0,67;12920;16730;19740;22050;28490;32550;38560;49500;3,8;5,1;0,330;48,2;39,6;3,3;5,3;50,0;17,7;3,6;0,7;2,0;0,9;-19,5;0
441310102;6,0;20230;26140;34480;0,55;15580;18930;21480;23790;28700;32090;36150;45020;2,9;3,6;0,254;52,4;45,1;2,7;4,6;49,9;12,8;2,5;0,8;1,2;0,5;-17,6;0
441310103;8,4;18060;23000;29430;0,49;14060;16920;19130;21160;25340;27840;31300;38180;2,7;3,1;0,229;68,8;60,7;3,9;4,2;32,6;8,2;5,0;2,3;1,9;0,8;-14,6;0
441310104;6,2;20020;26270;33960;0,53;15280;18700;21030;23730;28930;32030;36290;44990;2,9;3,8;0,268;55,6;48,3;2,5;4,8;45,2;14,8;2,7;1,0;1,2;0,5;-18,3;0
441320101;s;19590;27340;37310;0,65;13970;18060;20980;24330;30970;35100;40280;51970;3,7;5,6;0,354;47,7;37,6;2,9;7,2;48,0;24,4;2,3;0,3;1,4;0,6;-22,4;0
441320102;9,4;19240;25750;35090;0,62;13830;17740;20580;23230;28740;32450;37530;47160;3,4;4,6;0,305;54,2;45,7;2,8;5,7;44,7;17,1;3,6;0,8;1,9;0,9;-19,6;0
441320103;6,1;21000;27380;36090;0,55;15670;19600;22370;25040;30420;33870;38890;49870;3,2;4,2;0,291;61,6;53,0;2,5;6,1;38,4;16,7;2,9;1,0;1,3;0,6;-19,6;0
441320104;s;21520;27310;33540;0,44;16410;20400;22680;24870;29420;32170;36200;43540;2,7;3,1;0,222;72,8;65,6;3,2;4,0;32,4;10,1;2,8;1,3;1,0;0,5;-18,1;0
441350101;s;16550;22300;29770;0,59;12330;15410;17620;19810;24750;27910;31870;39140;3,2;4,1;0,285;39,8;34,0;3,0;2,8;56,1;14,1;5,2;0,8;3,1;1,3;-15,2;1
441350102;s;21060;28830;39040;0,62;15370;19230;22580;25490;32080;36910;42050;52980;3,4;4,6;0,307;41,0;31,8;1,9;7,3;57,8;20,7;1,9;0,6;1,0;0,3;-21,4;1
441430101;s;19450;26520;35520;0,61;14280;18220;20910;23540;29420;33320;38570;47970;3,4;4,2;0,287;88,0;75,4;5,5;7,1;15,2;13,0;3,9;1,4;1,7;0,8;-20,1;0
441430201;15,2;15900;21540;28190;0,57;11780;14860;17250;19460;23960;26610;29650;35110;3,0;3,5;0,242;77,7;69,6;4,6;3,5;23,9;5,1;7,7;2,2;3,8;1,7;-14,4;0
441430301;14,5;15980;21460;27780;0,55;11860;14760;17160;19310;23800;26470;29560;34730;2,9;3,5;0,245;76,1;67,3;5,1;3,7;23,9;5,9;8,0;1,8;4,0;2,2;-13,9;0
441430302;9,0;18850;24340;30920;0,50;13920;17360;20160;22240;26730;29240;32570;38540;2,8;3,2;0,230;77,9;69,6;3,9;4,4;26,2;7,0;4,9;1,5;2,3;1,1;-16,0;0
441430303;8,9;19080;24790;31270;0,49;13880;17820;20240;22600;27040;29930;32860;37260;2,7;3,1;0,221;82,3;75,3;3,8;3,2;23,0;5,8;4,7;1,9;1,9;0,9;-15,8;0
