;numero_uai;adresse_uai;localite_acheminement_uai;code_postal_uai;x_L93_ref;y_L93_ref;x_WGS84_ref;y_WGS84_ref;latitude;longitude;result_housenumber;result_name;result_postcode;result_city;result_label;label
60;0501592J;7 RUE DES HAUTS VENTS BATBOULEVARD;LA HAYE;50250;369638.1;6918772.1;-1.5421195247837227;49.28304005478523;49.285147;-1.541779;7;Rue des Hauts Vents;50250;La Haye;7 Rue des Hauts Vents 50250 La Haye;BATBOULEVARD
61;0911967U;RUE DU MOSNIL BATBOULEVARD;BAULNE;91590;652982.5;6822027.3;2.363592442099459;48.49679371505248;48.496794;2.363593;;Rue du Mosnil;91590;Baulne;Rue du Mosnil 91590 Baulne;BATBOULEVARD
62;0501661J;210 RUE KENNEDY BATBOULEVARD;BARENTON;50720;417764.8;6839950.3;-0.8290598026770065;48.59815618095524;48.598732;-0.828948;210;rue du président john kennedy;50720;Barenton;210 rue du président john kennedy 50720 Barenton;BATBOULEVARD
63;0890613H;13 RUE JACQUES FERRAND BATBOULEVARD;JOIGNY;89300;729850.5;6764784.1;3.4001218470242787;47.98276467663135;47.982765;3.400122;13;Rue Jacques Ferrand;89300;Joigny;13 Rue Jacques Ferrand 89300 Joigny;BATBOULEVARD
64;0500570Y;1 BIS VILLAGE DE L'EGLISE BATBOULEVARD;SIDEVILLE;50690;361083.2;6953826.3;-1.688049800995112;49.59307804161625;49.579284;-1.68273;;La Heronniere de Bas;50690;Sideville;La Heronniere de Bas 50690 Sideville;BATBOULEVARD
65;0011009S;50 CHEMIN DE L'ECOLE BATBOULEVARD;JAYAT;1340;862922.5;6587525.9;5.119559995063749;46.36798493889978;46.36854;5.119028;50;Chemin de l’Ecole;1340;Jayat;50 Chemin de l’Ecole 01340 Jayat;BATBOULEVARD
66;0910178Z;126 RUE SAINT JACQUES BATBOULEVARD;ETAMPES;91150;637421.3;6815053.7;2.153988508178146;48.43274671664046;48.432747;2.153989;126;Rue Saint Jacques;91150;Étampes;126 Rue Saint Jacques 91150 Étampes;BATBOULEVARD
67;0870254D;18 RUE DU PUY LAS RODAS BATBOULEVARD;LIMOGES;87000;563203.1;6526840.9;1.2378151832083215;45.82747066373654;45.827471;1.237815;18;rue du Puy Las Rodas;87000;Limoges;18 rue du Puy Las Rodas 87000 Limoges;BATBOULEVARD
68;0660698A;31 RUE TORCATIS BATBOULEVARD;RIVESALTES;66600;689886.6;6185467.6;2.87657487805815;42.7686759834736;42.768676;2.876575;31;Rue Louis Torcatis;66600;Rivesaltes;31 Rue Louis Torcatis 66600 Rivesaltes;BATBOULEVARD
69;0623902E;68 RUE ANTOINE DE SAINT-EXUPÉRY BATBOULEVARD;BEUVRY;62660;676067.2;7046791.7;2.663069709245919;50.51795889905968;50.517958;2.663014;68;Rue Saint Exupery;62660;Beuvry;68 Rue Saint Exupery 62660 Beuvry;BATBOULEVARD
70;0280145F;3 BIS RUE LÉON BLUM BATBOULEVARD;VERNOUILLET;28500;579392.1;6848053.1;1.3603905361882118;48.721339375584485;48.720703;1.360718;3bis;Rue Léon Blum;28500;Vernouillet;3bis Rue Léon Blum 28500 Vernouillet;BATBOULEVARD
71;0751237M;18 RUE DE SURÈNE BATBOULEVARD;PARIS;75008;650162.3;6863662.6;2.320572343065137;48.87106010189899;48.87106;2.320573;18;Rue de Surène;75008;Paris;18 Rue de Surène 75008 Paris;BATBOULEVARD
72;0080152X;RUE DE L'ABBAYE BATBOULEVARD;SIGNY L ABBAYE;8460;802652.6;6956615.4;4.4221496572252175;49.70026626381441;49.699276;4.420537;;Rue de l’Abbaye;8460;Signy-l'Abbaye;Rue de l’Abbaye 08460 Signy-l'Abbaye;BATBOULEVARD
